id,erl_id,area_of_focus,documentation_artifact,artifact_description,scf_control_mappings,scf_version,import_id,created_at,updated_at
0069c9ef-288d-4196-995a-aebe9bbbd20a,E-PES-02,Physical Security,Visitor Logbook,Documented evidence of a visitor management and logging visitor activities.,"[""PES-03.3"",""PES-06"",""PES-06.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
010556c0-0b6c-4582-bf71-ceefe2fd15f9,E-PRI-03,Privacy,Data Authority Registrations,Documented evidence of registrations made with applicable data authorities for privacy-related data processing.,"[""PRI-15""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
031f6e74-d8f7-4a71-942a-1f33c15eb6c6,E-DCH-07,Data Protection,Media Sanitization Documentation,Documented evidence of media sanitization actions.,"[""DCH-09"",""DCH-09.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
048b31a3-df0c-4ba3-9aca-0f451b1a66c9,E-AAT-08,Artificial Intelligence (AI) & Autonomous Technologies Governance,Robust Stakeholder Involvement for Artificial Intelligence and Autonomous Technologies (AAT),Documented evidence of robust stakeholder involvement on Artificial Intelligence (AI) and Autonomous Technologies (AAT) initiatives.,"[""AAT-11""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
066f289a-7e5e-48d5-a4e7-b408cb5b92c6,E-DCH-10,Data Protection,Structured & Unstructured Data Reviews,Documented evidence of a capability to review and/or scan data repositories (structured or unstructured) for instances of sensitive and/or regulated data.,"[""DCH-06.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
07a936e5-ee40-45af-a693-50f0ed3dbd41,E-AST-18,Asset Management,Secure Baseline Configurations - Mobile Devices,Documented evidence of secure baseline configurations for all deployed types of mobile devices.,"[""CFG-02"",""CFG-03"",""CFG-02.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
09f25468-60e1-4327-9809-aa541e4a6b8b,E-HRS-17,Human Resources,Background Checks,"Documented evidence of personnel screening practices, which centers around some form of formalized background check process.","[""HRS-04"",""HRS-04.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0a381d47-5f52-428d-8956-5fb7cf010003,E-IRO-08,Incident Response,Root Cause Analysis (RCA),"Documented evidence of a Root Cause Analysis (RCA) from any Incident Response Plan (IRP)-related training, testing or incident.","[""IRO-13""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0c809dab-c9e4-4457-a164-874ce24ea64f,E-BCM-01,Business Continuity,Continuity of Operations Plan (COOP),"Documented evidence of a Continuity of Operations Plan (COOP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards. This involves internal and external stakeholders for incident response, disaster recovery and business continuity support requirements.","[""BCD-01"",""BCD-01.1"",""BCD-01.2"",""BCD-01.6"",""BCD-02.1"",""SEA-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0c8cce55-3d12-4f65-9569-819aebaf4535,E-TPM-05,Third-Party Management,Break Clauses,"Documented evidence of ""break clauses"" in third-party contracts.","[""TPM-03.2"",""TPM-03.3"",""TPM-05.7""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
