SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","Risk if Primary Control
Not Implemented",Possible Compensating Control #1,Compensating Control Name,Compensating Control #,Compensating Control Justification,Possible Compensating Control #2,Compensating Control Name,Compensating Control #,Compensating Control Justification
"Security, Compliance & Resilience Program (SCRP)",GOV-01,"Mechanisms exist to facilitate the implementation of security, compliance and resilience governance controls.","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steering Committee & Program Oversight,GOV-01.1,"Mechanisms exist to align security, compliance and resilience capabilities with business requirements through a steering committee or advisory board, comprised of key cybersecurity, data protection and business executives, which meets formally and on a regular basis.","Without Steering Committee & Program Oversight, security risks may go unmanaged, resulting in uncontrolled exposures and misaligned security investments.",GOV-04,"Assigned Security, Compliance & Resilience Responsibilities","Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide Security, Compliance & Resilience Program (SCRP).","Assigned Security, Compliance & Resilience Responsibilities (GOV-04) provides resilience and recovery capability that compensates for the absence of Steering Committee & Program Oversight (GOV-01.1) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",RSK-01,Risk Management Program,"Mechanisms exist to facilitate the implementation of strategic, operational and tactical risk management controls.","Risk Management Program (RSK-01) provides policy-level governance that compensates for the absence of Steering Committee & Program Oversight (GOV-01.1) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Status Reporting To Governing Body,GOV-01.2,"Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization's Security, Compliance & Resilience Program (SCRP).","Without Status Reporting To Governing Body, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",GOV-05,Measures of Performance,"Mechanisms exist to develop, report and monitor Security, Compliance & Resilience Program (SCRP) measures of performance.","Measures of Performance (GOV-05) provides overlapping security capability that compensates for the absence of Status Reporting To Governing Body (GOV-01.2) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-02,"Security, Compliance & Resilience Controls Oversight","Mechanisms exist to provide a security, compliance and resilience controls oversight function that reports to the organization's executive leadership.","Security, Compliance & Resilience Controls Oversight (CPL-02) provides resilience and recovery capability that compensates for the absence of Status Reporting To Governing Body (GOV-01.2) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Commitment To Continual Improvements,GOV-01.3,"Mechanisms exist to commit appropriate resources needed for continual improvement of the organization's Security, Compliance & Resilience Program (SCRP), including:
(1) Staffing;
(2) Budget;
(3) Processes; and
(4) Technologies.","Without Commitment To Continual Improvements, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",PRM-02,"Security, Compliance & Resilience Resource Management","Mechanisms exist to address all capital planning and investment requests, including the resources needed to implement the Security, Compliance & Resilience Program (SCRP) and document all exceptions to this requirement.","Security, Compliance & Resilience Resource Management (PRM-02) provides resilience and recovery capability that compensates for the absence of Commitment To Continual Improvements (GOV-01.3) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",RSK-01,Risk Management Program,"Mechanisms exist to facilitate the implementation of strategic, operational and tactical risk management controls.","Risk Management Program (RSK-01) provides policy-level governance that compensates for the absence of Commitment To Continual Improvements (GOV-01.3) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Secure Practices Alignment Justification,GOV-01.4,"Mechanisms exist to align the organization’s Security, Compliance & Resilience Program (SCRP) with one or more industry-recognized frameworks that:
(1) Support external scrutiny; and
(2) Provide defensible justification for secure practices.","Without Secure Practices Alignment Justification, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-01,"Statutory, Regulatory & Contractual Compliance","Mechanisms exist to facilitate the identification and implementation of relevant statutory, regulatory and contractual controls.","Statutory, Regulatory & Contractual Compliance (CPL-01) provides third-party oversight and contractual controls that compensates for the absence of Secure Practices Alignment Justification (GOV-01.4) by extending security obligations and monitoring third-party risk in lieu of direct primary control implementation. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",GOV-09,Define Control Objectives,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization's internal security, compliance and resilience control system.","Define Control Objectives (GOV-09) provides overlapping security capability that compensates for the absence of Secure Practices Alignment Justification (GOV-01.4) by addressing related risk objectives through an alternative control mechanism. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Publishing Security, Compliance & Resilience Documentation",GOV-02,"Mechanisms exist to establish, maintain and disseminate policies, standards and procedures necessary for secure, compliant and resilient capabilities.","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exception Management,GOV-02.1,"Mechanisms exist to prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded.","Without Exception Management, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",RSK-04,Risk Assessment,"Mechanisms exist to conduct recurring assessments of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's Technology Assets, Applications, Services and/or Data (TAASD).","Risk Assessment (RSK-04) provides periodic assessment and assurance that compensates for the absence of Exception Management (GOV-02.1) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-02,"Security, Compliance & Resilience Controls Oversight","Mechanisms exist to provide a security, compliance and resilience controls oversight function that reports to the organization's executive leadership.","Security, Compliance & Resilience Controls Oversight (CPL-02) provides resilience and recovery capability that compensates for the absence of Exception Management (GOV-02.1) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Periodic Review & Update of Security, Compliance & Resilience Program",GOV-03,"Mechanisms exist to review the Security, Compliance & Resilience Program (SCRP), including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness.","Without Periodic Review & Update of Security, Compliance & Resilience Program, the organization may be unable to recover from disruptions, resulting in data loss and extended downtime.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Periodic Review & Update of Security, Compliance & Resilience Program (GOV-03) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",RSK-07,Risk Assessment Update,"Mechanisms exist to routinely update risk assessments and react accordingly upon identifying new security vulnerabilities, including using outside sources for security vulnerability information.","Risk Assessment Update (RSK-07) provides periodic assessment and assurance that compensates for the absence of Periodic Review & Update of Security, Compliance & Resilience Program (GOV-03) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Assigned Security, Compliance & Resilience Responsibilities",GOV-04,"Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide Security, Compliance & Resilience Program (SCRP).","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stakeholder Accountability Structure,GOV-04.1,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing Technology Assets, Applications, Services and/or Data (TAASD)-related risks.","Without Stakeholder Accountability Structure, unauthorized users may gain access to systems or data, increasing risk of data breaches and insider threats.",HRS-11,Separation of Duties (SoD),Mechanisms exist to implement and maintain Separation of Duties (SoD) to prevent potential inappropriate activity without collusion.,"Separation of Duties (SoD) (HRS-11) provides overlapping security capability that compensates for the absence of Stakeholder Accountability Structure (GOV-04.1) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",GOV-04,"Assigned Security, Compliance & Resilience Responsibilities","Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide Security, Compliance & Resilience Program (SCRP).","Assigned Security, Compliance & Resilience Responsibilities (GOV-04) provides resilience and recovery capability that compensates for the absence of Stakeholder Accountability Structure (GOV-04.1) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
