#,SCF Domain,SCF Identifier,"Security, Compliance & Resilience (SCR) Principles",Principle Intent
1,"Security, Compliance & Resilience Governance",GOV,"Govern the organization’s Security, Compliance & Resilience Program (SCRP) through accountable oversight, evidence-based decision-making and defensible evidence that the organization is secure, compliant and resilient.","Organizations establish and maintain governance structures, decision rights, accountability mechanisms and documented evidence to demonstrate that security, compliance and resilience practices are designed, implemented, monitored and improved in a manner that can withstand scrutiny from leadership, regulators, auditors, customers and other interested parties."
2,Artificial Intelligence & Autonomous Technologies,AAT,"Govern Artificial Intelligence & Autonomous Technologies (AAT) through trustworthy, secure and resilient lifecycle practices that manage intended and unintended outcomes.","Organizations ensure AAT capabilities are designed, developed, deployed, monitored and governed to be reliable, safe, fair, secure, resilient, transparent, explainable and privacy-enhancing, with risk management practices that address model, agent and autonomous decision-making risks."
3,Asset Management,AST,"Manage Technology Assets, Applications and Services (TAAS) throughout their lifecycle to maintain visibility, accountability, authorization and protection.","Organizations maintain accurate inventories, ownership records and data relationships for TAAS from procurement through disposal to ensure only authorized assets, applications and services are used and associated data is protected throughout its lifecycle."
4,Business Continuity & Disaster Recovery,BCD,"Maintain resilient capabilities to sustain business-critical functions and recover from disruptions through documented, tested and maintained continuity and recovery processes.","Organizations establish, exercise and improve Business Continuity and Disaster Recovery (BC/DR) capabilities to minimize operational disruption from adverse events, meet recovery objectives and support business, legal, regulatory and stakeholder obligations."
5,Capacity & Performance Planning,CAP,"Govern current and future capacity and performance requirements for Technology Assets, Applications, Services and Data (TAASD) to sustain reliable operations.","Organizations prevent avoidable business interruptions caused by capacity and performance limitations through baselines, thresholds, forecasting, demand planning and leadership visibility into current and future performance needs."
6,Change Management,CHG,"Manage changes to Technology Assets, Applications, Services and Data (TAASD) through an authorized, risk-based process that evaluates, implements and validates changes before and after deployment.","Organizations ensure technology and business stakeholders assess, authorize, test, implement, monitor and validate changes to minimize production impact, preserve availability, support rollback and maintain secure configurations."
7,Cloud Security,CLD,"Govern cloud services and environments through risk-based, cloud-native security, compliance and resilience practices aligned with shared responsibility obligations.","Organizations govern private, public and hybrid cloud environments, including IaaS, PaaS and SaaS, to manage shared responsibility risks, third-party dependencies, architectural decisions, data protection, portability and resilience requirements."
8,Compliance,CPL,"Govern security, compliance and data protection obligations to maintain defensible evidence of conformity with applicable internal and external requirements.","Organizations identify, interpret, implement and maintain evidence of conformity with applicable statutory, regulatory, contractual and internal obligations to demonstrate due diligence and due care."
9,Configuration Management,CFG,"Establish and enforce secure configuration baselines that implement least privilege and least functionality for Technology Assets, Applications and Services (TAAS) to support a defensible secure configuration posture.","Organizations establish, maintain, monitor and enforce secure configurations aligned with vendor recommendations and industry-recognized secure practices to preserve system integrity and prevent unauthorized or unintended functionality."
10,Continuous Monitoring,MON,"Maintain situational awareness through centralized collection, correlation and analysis of security-relevant telemetry from Technology Assets, Applications and Services (TAAS).","Organizations establish enterprise-wide situational awareness through centralized collection, correlation, analysis and review of security-relevant events, telemetry and control status to reduce blind spots that could contribute to compromise, data exfiltration or TAAS unavailability."
